Title,DOI,Link
MalPro: Learning on Process-Aware Behaviors for Malware Detection,10.1109/ISCC55528.2022.9913030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141204091&doi=10.1109%2FISCC55528.2022.9913030&partnerID=40&md5=bdcc97e06ef139e1a168308e64b3bb8a
A Comparison of Machine and Deep Learning Models for Detection and Classification of Android Malware Traffic,10.1109/ISCC55528.2022.9912986,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141164498&doi=10.1109%2FISCC55528.2022.9912986&partnerID=40&md5=7e8f83eed90b5651d878426da89a6a12
A Co-evolutionary Algorithm-Based Malware Adversarial Sample Generation Method,10.1109/DSC54232.2022.9888884,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141101222&doi=10.1109%2FDSC54232.2022.9888884&partnerID=40&md5=06875fffc0ee473304e3e0473dc5c1a3
Clustering-Based Network Intrusion Detection System,10.1109/DSC54232.2022.9888886,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141097842&doi=10.1109%2FDSC54232.2022.9888886&partnerID=40&md5=34114b250a701d8f2bf8648636982a4e
"Security Orchestration, Automation, and Response Engine for Deployment of Behavioural Honeypots",10.1109/DSC54232.2022.9888808,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141078893&doi=10.1109%2FDSC54232.2022.9888808&partnerID=40&md5=ee55813279504d46f44478e61200c8f0
A Generative Neural Network for Enhancing Android Metamorphic Malware Detection based on Behaviour Profiling,10.1109/DSC54232.2022.9888906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141069653&doi=10.1109%2FDSC54232.2022.9888906&partnerID=40&md5=30d050ff3c1599a1657ca6d12e5b9d8e
A Node-Embedding Features Based Machine Learning Technique for Dynamic Malware Detection,10.1109/DSC54232.2022.9888836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141042880&doi=10.1109%2FDSC54232.2022.9888836&partnerID=40&md5=8b256cba4ca5b1d8388e5659a33fcd0c
Graph Neural Network-based Android Malware Classification with Jumping Knowledge,10.1109/DSC54232.2022.9888878,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141032606&doi=10.1109%2FDSC54232.2022.9888878&partnerID=40&md5=cf811df99481a6b02eb39e41e5674598
"5th IEEE Conference on Dependable and Secure Computing, DSC 2022 and SECSOC 2022 Workshop, PASS4IoT 2022 Workshop SICSA International Paper/Poster Competition in Cybersecurity",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141030577&partnerID=40&md5=289fa61564dbe8386b608b63594c4e6f
Boundary Enhanced Semantic Segmentation for High Resolution Electron Microscope Images,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141011725&partnerID=40&md5=f9c8f1b5d9e0c12ac45a5a0dbb9e9e45
